station_id,station_name,lat,lon,lines_served,num_lines
940GZZNEUGST,Nine Elms Underground Station,51.479912,-0.128476,['northern'],1
940GZZLUNAN,North Acton Underground Station,51.523524,-0.259755,['central'],1
940GZZLUNEN,North Ealing Underground Station,51.517505,-0.288868,['piccadilly'],1
940GZZLUNGW,North Greenwich Underground Station,51.50047,0.004287,['jubilee'],1
940GZZLUNHA,North Harrow Underground Station,51.584872,-0.362408,['metropolitan'],1
940GZZLUNWY,North Wembley Underground Station,51.562551,-0.304,['bakerloo'],1
940GZZLUNFD,Northfields Underground Station,51.499319,-0.314719,['piccadilly'],1
940GZZLUNHT,Northolt Underground Station,51.548236,-0.368699,['central'],1
940GZZLUNKP,Northwick Park Underground Station,51.578481,-0.318056,['metropolitan'],1
940GZZLUNWH,Northwood Hills Underground Station,51.600572,-0.409464,['metropolitan'],1
940GZZLUNOW,Northwood Underground Station,51.611053,-0.423829,['metropolitan'],1
940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,"['central', 'circle', 'district']",3
940GZZLUOAK,Oakwood Underground Station,51.647726,-0.132182,['piccadilly'],1
940GZZLUODS,Old Street Underground Station,51.525864,-0.08777,['northern'],1
940GZZLUOSY,Osterley Underground Station,51.481274,-0.352224,['piccadilly'],1
940GZZLUOVL,Oval Underground Station,51.48185,-0.112439,['northern'],1
940GZZLUOXC,Oxford Circus Underground Station,51.515224,-0.141903,"['bakerloo', 'central', 'victoria']",3
910GPADTLL,Paddington,51.516451,-0.177107,"['bakerloo', 'circle', 'district', 'elizabeth', 'hammersmith-city']",5
940GZZLUPAH,Paddington (H&C Line)-Underground,51.518187,-0.178306,"['bakerloo', 'circle', 'district', 'elizabeth', 'hammersmith-city']",5
940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,"['bakerloo', 'circle', 'district', 'elizabeth', 'hammersmith-city']",5
940GZZLUPKR,Park Royal Underground Station,51.527123,-0.284341,['piccadilly'],1
940GZZLUPSG,Parsons Green Underground Station,51.475277,-0.20117,['district'],1
940GZZLUPVL,Perivale Underground Station,51.536717,-0.323446,['central'],1
940GZZLUPCC,Piccadilly Circus Underground Station,51.51005,-0.133798,"['bakerloo', 'piccadilly']",2
940GZZLUPCO,Pimlico Underground Station,51.489097,-0.133761,['victoria'],1
940GZZLUPNR,Pinner Underground Station,51.592901,-0.381161,['metropolitan'],1
940GZZLUPLW,Plaistow Underground Station,51.531341,0.017451,"['district', 'hammersmith-city']",2
940GZZDLPDK,Pontoon Dock DLR Station,51.502212,0.032115,['dlr'],1
940GZZDLPOP,Poplar DLR Station,51.507744,-0.017384,['dlr'],1
940GZZLUPRD,Preston Road Underground Station,51.571972,-0.295107,['metropolitan'],1
940GZZDLPRE,Prince Regent DLR Station,51.509263,0.034158,['dlr'],1
940GZZDLPUD,Pudding Mill Lane DLR Station,51.534302,-0.012755,['dlr'],1
940GZZLUPYB,Putney Bridge Underground Station,51.468262,-0.208731,['district'],1
940GZZLUQPS,Queen's Park Underground Station,51.534158,-0.204574,['bakerloo'],1
940GZZLUQBY,Queensbury Underground Station,51.594188,-0.286219,['jubilee'],1
940GZZLUQWY,Queensway Underground Station,51.510312,-0.187152,['central'],1
940GZZLURVP,Ravenscourt Park Underground Station,51.494122,-0.235881,['district'],1
940GZZLURYL,Rayners Lane Underground Station,51.575147,-0.371127,"['metropolitan', 'piccadilly']",2
910GRDNGSTN,Reading Rail Station,51.458786,-0.971863,['elizabeth'],1
940GZZLURBG,Redbridge Underground Station,51.576243,0.04536,['central'],1
940GZZLURGP,Regent's Park Underground Station,51.523344,-0.146444,['bakerloo'],1
940GZZLURMD,Richmond Underground Station,51.463237,-0.301336,['district'],1
940GZZLURKW,Rickmansworth Underground Station,51.640207,-0.473703,['metropolitan'],1
940GZZLURVY,Roding Valley Underground Station,51.617199,0.043647,['central'],1
910GROMFORD,Romford Rail Station,51.574829,0.183237,['elizabeth'],1
940GZZDLRAL,Royal Albert DLR Station,51.508357,0.045935,['dlr'],1
940GZZLURYO,Royal Oak Underground Station,51.519113,-0.188748,"['circle', 'hammersmith-city']",2
940GZZDLRVC,Royal Victoria DLR Station,51.509336,0.018497,['dlr'],1
940GZZLURSG,Ruislip Gardens Underground Station,51.560736,-0.41071,['central'],1
940GZZLURSM,Ruislip Manor Underground Station,51.573202,-0.412973,"['metropolitan', 'piccadilly']",2
940GZZLURSP,Ruislip Underground Station,51.571354,-0.421898,"['metropolitan', 'piccadilly']",2
940GZZLURSQ,Russell Square Underground Station,51.523073,-0.124285,['piccadilly'],1
910GSVNKNGS,Seven Kings Rail Station,51.564026,0.0971,['elizabeth'],1
940GZZLUSVS,Seven Sisters Underground Station,51.58333,-0.072584,['victoria'],1
940GZZDLSHA,Shadwell DLR Station,51.511693,-0.056643,['dlr'],1
910GSHENFLD,Shenfield Rail Station,51.630877,0.329851,['elizabeth'],1
940GZZLUSBC,Shepherd's Bush (Central) Underground Station,51.504376,-0.218813,['central'],1
940GZZLUSBM,Shepherd's Bush Market Underground Station,51.505579,-0.226375,"['circle', 'hammersmith-city']",2
940GZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,"['circle', 'district']",2
910GSLOUGH,Slough Rail Station,51.51188,-0.59151,['elizabeth'],1
940GZZLUSNB,Snaresbrook Underground Station,51.580678,0.02144,['central'],1
940GZZLUSEA,South Ealing Underground Station,51.501003,-0.307424,['piccadilly'],1
940GZZLUSHH,South Harrow Underground Station,51.564888,-0.352492,['piccadilly'],1
940GZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,"['circle', 'district', 'piccadilly']",3
940GZZLUSKT,South Kenton Underground Station,51.570232,-0.308433,['bakerloo'],1
940GZZDLSOQ,South Quay DLR Station,51.50005,-0.015975,['dlr'],1
940GZZLUSRP,South Ruislip Underground Station,51.556853,-0.398915,['central'],1
940GZZLUSWN,South Wimbledon Underground Station,51.415309,-0.192005,['northern'],1
940GZZLUSWF,South Woodford Underground Station,51.591907,0.027338,['central'],1
910GSTHALL,Southall Rail Station,51.505957,-0.37861,['elizabeth'],1
940GZZLUSFS,Southfields Underground Station,51.445073,-0.206602,['district'],1
940GZZLUSGT,Southgate Underground Station,51.632315,-0.127816,['piccadilly'],1
940GZZLUSWK,Southwark Underground Station,51.50427,-0.105331,['jubilee'],1
940GZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,"['circle', 'district']",2
940GZZLUSJW,St. John's Wood Underground Station,51.534521,-0.173948,['jubilee'],1
940GZZLUSPU,St. Paul's Underground Station,51.514936,-0.097567,['central'],1
940GZZLUSFB,Stamford Brook Underground Station,51.494917,-0.245704,['district'],1
940GZZLUSTM,Stanmore Underground Station,51.619839,-0.303266,['jubilee'],1
940GZZDLSTL,Star Lane DLR Station,51.520786,0.004156,['dlr'],1
940GZZLUSGN,Stepney Green Underground Station,51.521858,-0.046596,"['district', 'hammersmith-city']",2
940GZZLUSKW,Stockwell Underground Station,51.472184,-0.122644,"['northern', 'victoria']",2
940GZZLUSGP,Stonebridge Park Underground Station,51.543959,-0.275892,['bakerloo'],1
910GSTFD,Stratford (London) Rail Station,51.541895,-0.003397,"['central', 'dlr', 'elizabeth', 'jubilee']",4
940GZZDLSTD,Stratford DLR Station,51.541758,-0.003287,"['central', 'dlr', 'elizabeth', 'jubilee']",4
940GZZDLSHS,Stratford High Street DLR Station,51.538196,-0.001078,['dlr'],1
940GZZDLSIT,Stratford International DLR Station,51.545265,-0.009638,['dlr'],1
940GZZLUSTD,Stratford Underground Station,51.541806,-0.003458,"['central', 'dlr', 'elizabeth', 'jubilee']",4
940GZZLUSUH,Sudbury Hill Underground Station,51.556946,-0.336435,['piccadilly'],1
940GZZLUSUT,Sudbury Town Underground Station,51.550815,-0.315745,['piccadilly'],1
940GZZLUSWC,Swiss Cottage Underground Station,51.543681,-0.174894,['jubilee'],1
910GTAPLOW,Taplow Rail Station,51.523562,-0.68137,['elizabeth'],1
940GZZLUTMP,Temple Underground Station,51.511006,-0.11426,"['circle', 'district']",2
940GZZLUTHB,Theydon Bois Underground Station,51.671759,0.103085,['central'],1
940GZZLUTBC,Tooting Bec Underground Station,51.435678,-0.159736,['northern'],1
940GZZLUTBY,Tooting Broadway Underground Station,51.42763,-0.168374,['northern'],1
910GTOTCTRD,Tottenham Court Road,51.515698,-0.13044,"['central', 'elizabeth', 'northern']",3
940GZZLUTCR,Tottenham Court Road Underground Station,51.516426,-0.13041,"['central', 'elizabeth', 'northern']",3
940GZZLUTMH,Tottenham Hale Underground Station,51.588108,-0.060241,['victoria'],1
940GZZLUTAW,Totteridge & Whetstone Underground Station,51.630597,-0.17921,['northern'],1
940GZZDLTWG,Tower Gateway DLR Station,51.510617,-0.074818,['dlr'],1
940GZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,"['circle', 'district']",2
940GZZLUTFP,Tufnell Park Underground Station,51.556822,-0.138433,['northern'],1
